,0,1,2,3,4,5
201,2019-10-14,GULF,บริษัท  ซิโน-ไทย เอ็นจิเนียริ่ง แอนด์ คอนสตรัคชั่น จำกัด(มหาชน),"40,000,000",167.00,1.88
202,2019-10-14,HMPRO,บริษัท  แลนด์ แอนด์ เฮ้าส์ จำกัด (มหาชน),"3,975,878,432",16.90,30.23
203,2019-10-14,HMPRO,บริษัท  ควอลิตี้เฮ้าส์ จำกัด (มหาชน),"2,613,023,098",16.90,19.87
204,2019-10-14,HMPRO,บริษัท  ไทยเอ็นวีดีอาร์ จำกัด,"961,111,925",16.90,7.31
205,2019-10-14,HMPRO,นาย นิติ โอสถานุเคราะห์,"621,415,762",16.90,4.73
206,2019-10-14,HMPRO,สำนักงานประกันสังคม,"368,310,112",16.90,2.80
207,2019-10-14,HMPRO,นาย มานิต อุดมคุณธรรม,"269,989,197",16.90,2.05
208,2019-10-14,HMPRO,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,"258,035,994",16.90,1.96
209,2019-10-14,HMPRO,STATE STREET EUROPE LIMITED,"241,374,375",16.90,1.84
210,2019-10-14,HMPRO,AIA COMPANY LIMITED-EQDI-D FUND 1,"189,700,080",16.90,1.44
211,2019-10-14,HMPRO,บริษัท  สารสิน จำกัด,"167,557,971",16.90,1.27
212,2019-10-14,INTUCH,SINGTEL GLOBAL INVESTMENT PTE. LTD.,"673,348,264",66.50,21.00
213,2019-10-14,INTUCH,บริษัท  ไทยเอ็นวีดีอาร์ จำกัด,"532,380,897",66.50,16.60
214,2019-10-14,INTUCH,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,"320,283,660",66.50,9.99
215,2019-10-14,INTUCH,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,"128,425,755",66.50,4.01
216,2019-10-14,INTUCH,สำนักงานประกันสังคม,"43,537,600",66.50,1.36
217,2019-10-14,INTUCH,กองทุนเปิด  กรุงศรีหุ้นระยะยาวปันผล,"38,737,100",66.50,1.21
218,2019-10-14,INTUCH,UBS AG LONDON BRANCH,"28,245,994",66.50,0.88
219,2019-10-14,INTUCH,นาย เพิ่มศักดิ์ เก่งมานะ,"27,829,500",66.50,0.87
220,2019-10-14,INTUCH,STATE STREET EUROPE LIMITED,"24,515,815",66.50,0.76
221,2019-10-14,INTUCH,กองทุนเปิด  กรุงศรีหุ้นปันผล,"20,869,600",66.50,0.65
